1  07/29/1998 07:56:34 00:00:01 smtp - 25 197.218.177.069 172.016.112.050 0 -
11  07/29/1998 08:00:38 00:00:07 telnet 1216 23 172.016.113.084 172.016.112.050 0 -
14  07/29/1998 08:00:43 00:00:01 smtp 32775 25 172.016.112.050 172.016.113.084 0 -
15  07/29/1998 08:00:51 00:00:01 smtp 1052 25 197.182.091.233 172.016.112.050 0 -
152  07/29/1998 08:04:19 00:00:01 smtp 32776 25 172.016.112.050 197.182.091.233 0 -
155  07/29/1998 08:04:15 00:00:07 telnet 1216 23 172.016.113.084 172.016.112.050 0 -
350  07/29/1998 08:07:53 00:00:01 smtp 1620 25 135.013.216.191 172.016.112.050 0 -
450  07/29/1998 08:08:43 00:13:18 telnet 1686 23 197.218.177.069 172.016.112.050 0 -
494  07/29/1998 08:09:30 07:23:40 telnet 1749 23 128.223.199.068 172.016.112.050 0 -
839  07/29/1998 08:14:54 00:00:01 smtp 2000 25 194.007.248.153 172.016.112.050 0 -
867  07/29/1998 08:15:05 00:04:41 ftp 2063 21 192.005.041.239 172.016.112.050 1 warez,66,3,y,dos,clear,old,script
1154  07/29/1998 08:19:20 00:10:40 telnet 2122 23 197.218.177.069 172.016.112.050 0 -
1422  07/29/1998 08:23:16 00:04:40 ftp 2164 21 204.097.153.043 172.016.112.050 1 warez,66,3,y,dos,clear,old,script
1437  07/29/1998 08:23:24 00:00:01 smtp 2170 25 197.218.177.069 172.016.112.050 0 -
1446  07/29/1998 08:23:31 00:00:01 smtp 2170 25 197.218.177.069 172.016.112.050 0 -
1477  07/29/1998 08:23:45 00:00:01 smtp 2176 25 197.218.177.069 172.016.112.050 0 -
1519  07/29/1998 08:24:09 00:00:01 smtp 4986 25 172.016.114.168 172.016.112.050 0 -
1574  07/29/1998 08:24:40 04:31:09 telnet 2483 23 135.013.216.191 172.016.112.050 0 -
1577  07/29/1998 08:24:42 00:00:06 telnet 4987 23 172.016.114.169 172.016.112.050 0 -
1580  07/29/1998 08:24:46 00:00:01 smtp 32801 25 172.016.112.050 172.016.113.084 0 -
1581  07/29/1998 08:24:46 00:00:01 smtp 32799 25 172.016.112.050 172.016.114.168 0 -
1585  07/29/1998 08:24:46 00:00:01 smtp 32800 25 172.016.112.050 195.073.151.050 0 -
1813  07/29/1998 08:27:41 00:00:04 smtp 3184 25 135.013.216.191 172.016.112.050 0 -
1864  07/29/1998 08:27:55 00:00:07 telnet 6264 23 172.016.112.207 172.016.112.050 0 -
1935  07/29/1998 08:28:01 00:00:01 smtp 32806 25 172.016.112.050 135.008.060.182 0 -
1936  07/29/1998 08:28:01 00:00:01 smtp 32805 25 172.016.112.050 135.013.216.191 0 -
1941  07/29/1998 08:28:01 00:00:01 smtp 32807 25 172.016.112.050 197.182.091.233 0 -
2030  07/29/1998 08:28:44 00:00:07 telnet 6264 23 172.016.112.207 172.016.112.050 0 -
2037  07/29/1998 08:28:49 00:00:01 smtp 32808 25 172.016.112.050 172.016.113.105 0 -
2458  07/29/1998 08:33:43 00:04:42 ftp 3517 21 197.182.091.233 172.016.112.050 1 warez,66,3,y,dos,clear,old,script
2541  07/29/1998 08:34:17 00:05:43 telnet 10333 23 172.016.112.149 172.016.112.050 0 -
2555  07/29/1998 08:34:29 00:00:01 smtp 3645 25 195.115.218.108 172.016.112.050 0 -
2596  07/29/1998 08:34:55 00:00:06 telnet 10766 23 172.016.113.204 172.016.112.050 0 -
2619  07/29/1998 08:35:00 00:00:01 smtp 32809 25 172.016.112.050 195.115.218.108 0 -
2656  07/29/1998 08:35:27 02:55:30 telnet 3646 23 135.013.216.191 172.016.112.050 0 -
2764  07/29/1998 08:37:01 00:00:30 telnet 12354 23 172.016.113.105 172.016.112.050 0 -
2769  07/29/1998 08:37:05 00:00:01 smtp 3647 25 135.013.216.191 172.016.112.050 0 -
2774  07/29/1998 08:37:09 00:00:21 ftp 32813 21 172.016.112.050 197.218.177.069 0 -
3009  07/29/1998 08:40:05 00:00:01 smtp 3647 25 135.013.216.191 172.016.112.050 0 -
3210  07/29/1998 08:43:13 00:04:40 ftp 3845 21 209.030.070.014 172.016.112.050 1 warez,66,3,y,dos,clear,old,script
3411  07/29/1998 08:46:27 00:00:01 smtp 4111 25 196.037.075.158 172.016.112.050 0 -
3509  07/29/1998 08:47:29 00:00:10 telnet 14143 23 172.016.114.148 172.016.112.050 0 -
3594  07/29/1998 08:47:37 00:00:01 smtp 32819 25 172.016.112.050 172.016.114.148 0 -
3596  07/29/1998 08:47:37 00:00:01 smtp 32818 25 172.016.112.050 196.037.075.158 0 -
3696  07/29/1998 08:48:45 00:00:02 smtp 4122 25 135.013.216.191 172.016.112.050 0 -
3698  07/29/1998 08:48:47 00:00:01 smtp 4124 25 135.013.216.191 172.016.112.050 0 -
3764  07/29/1998 08:49:44 00:09:40 telnet 4139 23 196.227.033.189 172.016.112.050 0 -
3767  07/29/1998 08:49:48 00:00:01 smtp 4140 25 135.013.216.191 172.016.112.050 0 -
3830  07/29/1998 08:50:30 00:00:01 smtp 4163 25 194.027.251.021 172.016.112.050 0 -
3849  07/29/1998 08:50:50 00:00:13 telnet 16468 23 172.016.114.207 172.016.112.050 0 -
3865  07/29/1998 08:51:01 00:00:01 smtp 32821 25 172.016.112.050 194.027.251.021 0 -
3866  07/29/1998 08:51:01 00:00:01 smtp 32822 25 172.016.112.050 197.218.177.069 0 -
3867  07/29/1998 08:51:01 00:00:01 smtp 32824 25 172.016.112.050 197.182.091.233 0 -
3976  07/29/1998 08:52:19 00:00:09 telnet 16515 23 172.016.114.168 172.016.112.050 0 -
3982  07/29/1998 08:52:24 00:00:01 finger 32826 79 172.016.112.050 194.007.248.153 0 -
3985  07/29/1998 08:52:27 00:00:01 smtp 32830 25 172.016.112.050 172.016.113.084 0 -
3990  07/29/1998 08:52:27 00:00:01 smtp 32828 25 172.016.112.050 195.073.151.050 0 -
3991  07/29/1998 08:52:27 00:00:01 smtp 32827 25 172.016.112.050 194.007.248.153 0 -
3992  07/29/1998 08:52:27 00:00:01 smtp 32829 25 172.016.112.050 135.008.060.182 0 -
4035  07/29/1998 08:52:57 00:00:01 smtp 4189 25 195.073.151.050 172.016.112.050 0 -
4045  07/29/1998 08:53:08 00:00:01 smtp 4190 25 135.013.216.191 172.016.112.050 0 -
4050  07/29/1998 08:53:14 00:00:01 smtp 4191 25 194.007.248.153 172.016.112.050 0 -
4065  07/29/1998 08:53:23 00:00:01 smtp 4193 25 135.008.060.182 172.016.112.050 0 -
4091  07/29/1998 08:53:43 00:00:01 smtp 4195 25 195.073.151.050 172.016.112.050 0 -
4096  07/29/1998 08:53:51 00:04:40 ftp 4196 21 207.253.084.013 172.016.112.050 1 warez,66,3,y,dos,clear,old,script
4137  07/29/1998 08:54:14 00:00:08 telnet 17488 23 172.016.113.204 172.016.112.050 0 -
4143  07/29/1998 08:54:19 00:00:01 smtp 32835 25 172.016.112.050 172.016.112.207 0 -
4145  07/29/1998 08:54:19 00:00:01 smtp 32834 25 172.016.112.050 195.073.151.050 0 -
4309  07/29/1998 08:56:07 00:00:01 smtp 4357 25 135.013.216.191 172.016.112.050 0 -
4311  07/29/1998 08:56:08 00:00:01 smtp 4420 25 135.013.216.191 172.016.112.050 0 -
4341  07/29/1998 08:56:30 00:00:01 smtp 4622 25 135.013.216.191 172.016.112.050 0 -
4357  07/29/1998 08:56:48 00:00:01 finger 18705 79 172.016.113.105 172.016.112.050 0 -
4376  07/29/1998 08:56:52 00:00:01 smtp 18715 25 172.016.113.105 172.016.112.050 0 -
